type,item_id,item_text,fundamental_id,facet_id,2017_mean,2018_mean,2019_mean,2020_mean,2021_mean,2022_mean,2023_mean,2024_mean,2025_mean,2026_mean,is_reverse_scored,response_scale_min,response_scale_max
fundamental,vision_1,Our vision is clearly communicated throughout the company.,Vision,Vision,3.849056604,,4.382059801,4.125,3.952380952,4.045627376,4.011554622,4.285714286,4.1002331,4.294117647,FALSE,1,5
fundamental,vision_2,Our vision is inspiring.,Vision,Vision,4,,4.026666667,4.652173913,3.77037037,3.946666667,3.947437582,4.24,3.985915493,4.411764706,FALSE,1,5
fundamental,vision_3,Our vision challenges those who work here to continuously improve.,Vision,Vision,4.067961165,,4.263333333,4.565217391,3.734317343,3.845124283,3.818181818,4.0875,3.91588785,4.235294118,FALSE,1,5
fundamental,vision_4,Our vision is long-term oriented.,Vision,Vision,3.951456311,,4.272425249,4.708333333,3.823095823,4.086206897,4.008859358,4.44,4.103286385,4.529411765,FALSE,1,5
fundamental,purpose_1,Our organization creates value in the community in which it operates.,Purpose,Organizational Purpose,4.081632653,,4.041522491,4.8125,4.035377358,4.245229008,4.206758305,3.958333333,4.335087719,4.457142857,FALSE,1,5
fundamental,purpose_2,Our organization builds and maintains quality relationships with all stakeholders.,Purpose,Organizational Purpose,4.092783505,,3.995867769,4.708333333,4.065967016,4.15270936,4.174547983,3.965860597,4.296096904,4.4,FALSE,1,5
fundamental,purpose_3,Our organization considers the needs of the community and society.,Purpose,Organizational Purpose,3.822222222,,4.388888889,4.833333333,3.886219975,4.086870681,4.033057851,4.098104794,3.940584089,,FALSE,1,5
fundamental,purpose_4,Our organization's purpose/mission makes me feel that my work is meaningful.,Purpose,Meaningful Work,4.134615385,,,4.8125,3.812135356,3.988274707,4.040571429,4.011178862,4.162954279,4.171428571,FALSE,1,5
fundamental,purpose_5,I am proud to work for this organization.,Purpose,Meaningful Work,4.452830189,,,4.875,4.183294664,4.339851024,4.365909091,4.285282258,4.478463329,4.454545455,FALSE,1,5
fundamental,purpose_6,It is clear to me how my work connects to our broader organizational purpose.,Purpose,Meaningful Work,4.4,,,4.6875,4.119214586,4.197554092,4.183984116,3.914022518,4.281451141,4.454545455,FALSE,1,5
fundamental,strategy_1,People here have clarity on which decisions fall within their jurisdiction.,Strategy,Strategic Alignment & Execution,3.63,,3.774193548,4.125,3.545977011,3.594620557,3.628180039,3.599734043,3.732880938,3.771428571,FALSE,1,5
fundamental,strategy_2,People feel trusted and empowered to make decisions that are within their authority.,Strategy,Strategic Alignment & Execution,4.16,,3.838709677,4.416666667,3.742550656,3.800191205,3.789534884,3.735596708,3.891692308,3.714285714,FALSE,1,5
fundamental,strategy_3,Our policies and practices are aligned with our strategic objectives.,Strategy,Strategic Alignment & Execution,3.75,,4.277777778,4.565217391,3.867149758,3.860627178,3.868620038,3.849570201,3.845925926,4.171428571,FALSE,1,5
fundamental,strategy_4,New organizational processes are rolled out rather seamlessly.,Strategy,Strategic Alignment & Execution,3.434782609,,3.12455516,3.958333333,3.599423631,3.462311558,3.327272727,3.386621315,3.304761905,3.823529412,FALSE,1,5
fundamental,strategy_5,Management are nimble in responding to changes in our market and environment.,Strategy,Strategic Alignment & Execution,4.089108911,,4.5,4.391304348,3.873341375,3.873156342,3.891795482,3.762460233,4.035736677,3.823529412,FALSE,1,5
fundamental,strategy_6,Our organization's progress toward strategic objectives is tracked and communicated widely.,Strategy,Strategic Alignment & Execution,3.520833333,,,4.375,3.652644231,3.703777336,3.733918129,3.636608345,3.879012346,3.942857143,FALSE,1,5
fundamental,strategy_7,People are held accountable to their role in achieving organizational goals.,Strategy,Strategic Alignment & Execution,3.908163265,,,4.3125,3.436233611,3.641618497,3.660828955,3.616424116,3.779639975,3.885714286,FALSE,1,5
fundamental,strategy_8,I know and understand our organization's strategy.,Strategy,Strategic Clarity,3.836538462,,3.964412811,4.4375,3.879330944,3.968720379,3.984944991,3.823684211,4.081381011,4.171428571,FALSE,1,5
fundamental,strategy_9,It is clear to me how my work integrates into our overall strategy.,Strategy,Strategic Clarity,4.262135922,,,4.5,4.042654028,4.110371075,4.11522872,4.067017083,4.206662554,4.342857143,FALSE,1,5
fundamental,communication_1,I can speak openly with my supervisor.,Communication,Immediate Communication Among Direct Leaders,4.644230769,,3.963636364,4.533333333,4.323389021,4.327014218,4.319444444,4.297325103,4.371871275,4.363636364,FALSE,1,5
fundamental,communication_2,I am content with the way my supervisor communicates information to me.,Communication,Immediate Communication Among Direct Leaders,4.442307692,,,4.466666667,4.07875895,4.146780303,4.114173228,4.071942446,4.206443914,4.272727273,FALSE,1,5
fundamental,communication_3,I can speak openly with members of my group/unit.,Communication,Immediate Communication Among Direct Leaders,4.625,,,4.6875,4.341288783,4.300189394,4.297024144,4.229038855,4.316725979,4.2,FALSE,1,5
fundamental,communication_4,"In general, information is readily shared amongst employees in this organization.",Communication,General Communication,3.884615385,,3.861209964,4.47826087,3.596176822,3.652173913,3.711148649,3.611740474,3.831346841,3.794117647,FALSE,1,5
fundamental,communication_5,I am content with the way information is communicated between my group/unit and other areas of the organization.,Communication,General Communication,3.696078431,,3.391891892,4.5625,3.581730769,3.651096282,3.673837209,3.53340185,3.758682635,4,FALSE,1,5
fundamental,communication_6,Top management is communicative about issues of importance.,Communication,General Communication,4.098039216,,,4.625,3.846522782,3.847992352,3.861646235,3.840248963,3.985637343,4.029411765,FALSE,1,5
fundamental,leadership_1,My direct supervisor encourages me to approach problems in new ways.,Leadership,Direct Supervisor,4.333333333,,3.869565217,4.565217391,4.104819277,4.055749129,4.046793761,4.103773585,4.062821833,4.176470588,FALSE,1,5
fundamental,leadership_2,My direct supervisor acknowledges my individual needs and encourages my personal development.,Leadership,Direct Supervisor,4.362745098,,3.722222222,4.608695652,4.057692308,4.179462572,4.137064535,4.078043704,4.173285199,4.088235294,FALSE,1,5
fundamental,leadership_3,My direct supervisor articulates a compelling vision for the future of our group/unit.,Leadership,Direct Supervisor,4.242718447,,3.805555556,4.47826087,3.890361446,3.996161228,3.951090159,3.875523013,4.032569361,3.911764706,FALSE,1,5
fundamental,leadership_4,The person I directly report to is effective at setting expectations and holding the team accountable.,Leadership,Direct Supervisor,4.336633663,,4.356382979,,4.037394451,4.068833652,4.043478261,4.020790021,4.127480457,4.058823529,FALSE,1,5
fundamental,leadership_5,My direct supervisor instills pride and confidence in our group/unit.,Leadership,Direct Supervisor,4.362745098,,3.901185771,4.428571429,4.067003793,4.16189536,4.123006834,4.124481328,4.212083071,4.147058824,FALSE,1,5
fundamental,leadership_6,I am confident in our organization's top management team.,Leadership,Top Management,4.108910891,3.749226006,4.611111111,4.869565217,3.954436451,4.054966249,4.059025788,3.927234927,4.147254074,4.294117647,FALSE,1,5
fundamental,leadership_7,Top management clarifies priorities and regularly reinforces what is important.,Leadership,Top Management,3.851485149,3.671875,3.996282528,4.428571429,3.909310762,3.90077821,3.938150289,3.830107527,3.998178506,4.235294118,FALSE,1,5
fundamental,leadership_8,Our top management team treats all employees with respect.,Leadership,Top Management,4.378640777,3.971875,4.058823529,4.869565217,4.070217918,4.194552529,4.229214781,4.142411642,4.271791768,4.205882353,FALSE,1,5
fundamental,leadership_9,Our organization’s values are reflected in senior leadership’s behaviours and decisions.,Leadership,Top Management,,,,4.695652174,,4.65,3.984308131,3.96108291,3.96978852,4.117647059,FALSE,1,5
fundamental,learning_1,"At this organization, time is made for reflection and exploration of new ideas.",Learning & innovation,Learning & innovation,3.886597938,,3.313559322,4.304347826,3.477083333,3.667641326,3.682847896,3.564784053,3.787324802,3.545454545,FALSE,1,5
fundamental,learning_2,"At this organization, learning from clients, customers and/or stakeholders is valued.",Learning & innovation,Learning & innovation,4.117021277,,4.647058824,4.875,3.866962306,3.93442623,3.998223801,3.927232635,4.062124248,4.151515152,FALSE,1,5
fundamental,learning_3,"Knowledge and information are organized and documented in the form of manuals, databases, or otherwise; and these are widely accessible and updated regularly.",Learning & innovation,Learning & innovation,,,3.882352941,4.086956522,3.683712121,3.254310345,3.617021277,3.660245184,3.583417594,3.588235294,FALSE,1,5
fundamental,learning_4,We treat mistakes as an opportunity for growth.,Learning & innovation,Learning & innovation,4.262626263,,4.529411765,4.739130435,3.888077859,3.908113392,3.950771056,3.881675393,4.049636804,3.941176471,FALSE,1,5
fundamental,learning_5,People here feel that they can share new or different perspectives.,Learning & innovation,Learning & innovation,4.151515152,,3.809160305,4.782608696,3.712025316,3.908366534,3.911071849,3.90605428,4.03860523,4.088235294,FALSE,1,5
fundamental,learning_6,Management are always looking for new ways to improve organizational practices and processes.,Learning & innovation,Learning & innovation,4.224489796,,4.172043011,4.652173913,3.105029586,3.835616438,3.904648391,3.846994536,4.027455766,4.181818182,FALSE,1,5
fundamental,learning_7,Employees at this organization are encouraged and given the ability to innovate where possible.,Learning & innovation,Learning & innovation,4.202020202,,3.785440613,4.6875,3.711018711,3.851916376,3.821167883,3.862179487,3.925845147,4.294117647,FALSE,1,5
fundamental,respect_1,"Even when there is a disagreement, people still show respect for one another.","Respect, care, and trust","Respect, care, and trust",4.353535354,3.592476489,3.975274725,4.857142857,3.990279465,4.068269231,3.993656286,3.939393939,4.077669903,4.294117647,FALSE,1,5
fundamental,respect_2,People at this company generally like one another./ get along,"Respect, care, and trust","Respect, care, and trust",,,4.722222222,,4.135135135,4.084870849,4.144489796,4.076492537,4.146074254,4.382352941,FALSE,1,5
fundamental,respect_3,There is a high level of respect and care within our culture.,"Respect, care, and trust","Respect, care, and trust",4.39516129,3.740076825,4.101604278,4.826086957,4.020506634,4.047664442,4.06017192,3.991666667,4.148550725,4.294117647,FALSE,1,5
fundamental,respect_4,People at this organization embrace collaboration when appropriate.,"Respect, care, and trust","Respect, care, and trust",4.36,3.889240506,4.011029412,4.571428571,4.049939099,4.073543457,4.057636888,4.036687631,4.157671316,4.411764706,FALSE,1,5
fundamental,respect_5,People at this company generally trust one another.,"Respect, care, and trust","Respect, care, and trust",4.34,3.772151899,4.555555556,4.695652174,3.941958888,3.957692308,3.899769585,3.870428422,3.992718447,4.264705882,FALSE,1,5
fundamental,performance_1,"I have set specific, challenging and time-bound goals for myself, in collaboration with the person I report to.",Performance development,Performance development,4.060606061,,,,3.781512605,3.865831843,3.862586605,3.90311804,3.901776385,4.029411765,FALSE,1,5
fundamental,performance_2,I am content with the quality of feedback I receive.,Performance development,Performance development,4.02,3.45819398,4.117647059,3.428571429,3.812039312,3.943214629,3.945961995,3.927419355,4.01283697,4.176470588,FALSE,1,5
fundamental,performance_3,I receive feedback on a continual basis.,Performance development,Performance development,3.930693069,3.063694268,3.229166667,3.285714286,3.57804878,3.763285024,3.766172107,3.693920335,3.819875776,4.121212121,FALSE,1,5
fundamental,performance_4,The organization has fair promotion process(es).,Performance development,Performance development,,,4.03286385,4.142857143,4.151041667,4.357142857,3.335106383,3.393305439,3.31986532,3.678571429,FALSE,1,5
fundamental,performance_5,Performance is tracked and assessed fairly at this organization.,Performance development,Performance development,3.842105263,,3.875576037,,3.543806647,3.513513514,3.61167685,3.488986784,3.668055556,3.818181818,FALSE,1,5
fundamental,performance_6,Successes and/or achievements are celebrated at this organization.,Performance development,Performance development,4.32,,4.25,4.454545455,3.651105651,3.764534884,3.806797853,3.790254237,3.912399753,4.117647059,FALSE,1,5
fundamental,performance_7,Total compensation at this organization is fair.,Performance development,Performance development,3.959183673,,3.574660633,3.833333333,2.911963883,3.413084112,3.779054054,3.405436014,3.460334029,,FALSE,1,5
fundamental,performance_8,"At this organization, employees are given professional development opportunities in some form.",Performance development,Performance development,4.154639175,3.611111111,3.584158416,4.782608696,3.315044248,3.77060576,3.800607903,3.756149733,3.944548287,4.393939394,FALSE,1,5
fundamental,safety_1,I believe my workplace is safe.,Safety,Safety,,4.482517483,4.657992565,,4.595808383,4.46163522,4.446280992,4.316666667,4.51824274,,FALSE,1,5
fundamental,safety_2,We have a strong safety culture at this organization.,Safety,Safety,,,,,,4.497826087,4.473275024,4.344978166,4.488077496,,FALSE,1,5
fundamental,safety_3,We always report safety incidents when we become aware of them.,Safety,Safety,,4.415384615,4.543209877,,4.517350158,4.440875912,4.416791604,4.367109635,4.413575375,,FALSE,1,5
fundamental,safety_4,I have the opportunity to voice my concerns regarding safety.,Safety,Safety,,4.496,4.565217391,,4.694610778,4.438534279,4.489637306,4.326231691,4.493456505,,FALSE,1,5
fundamental,safety_5,My manager communicates and shows their commitment to creating a safe and healthy work environment.,Safety,Safety,,4.166666667,4.610894942,,4.425887265,4.327444052,4.325271059,4.227631579,4.437874251,,FALSE,1,5
fundamental,safety_6,Leadership prioritizes health and safety in our workplace.,Safety,Safety,,4.419928826,4.716049383,,4.534246575,4.381201044,4.404485692,4.183406114,4.455639098,,FALSE,1,5
fundamental,safety_7,We have the right safety systems and programs to create a safe and healthy work environment.,Safety,Safety,,,,,4.819354839,4.177871148,4.359504132,4.211428571,4.393558523,,FALSE,1,5
fundamental,safety_8,"I feel empowered to improve safety at ORGANIZATION, including voicing any concerns.",Safety,Safety,,,,,,4.283618582,4.44057971,4.276995305,4.355066079,,FALSE,1,5
fundamental,safety_9,I am clear on safety expectations within my role.,Safety,Safety,,,,,,4.4,4.461030383,4.415525114,4.4743255,,FALSE,1,5
fundamental,inclusion_1,I feel included in most work activities.,Inclusion & belonging,Inclusion & belonging,,,,,,4.409090909,3.990215264,4.032528856,4.001322751,4.176470588,FALSE,1,5
fundamental,inclusion_2,I feel a sense of belonging at organization.,Inclusion & belonging,Inclusion & belonging,,,,,3.78125,3.893333333,4.091402715,4.034172662,4.162526615,4.294117647,FALSE,1,5
fundamental,inclusion_3,People’s differences are respected and appreciated at organization.,Inclusion & belonging,Inclusion & belonging,,,,,,,4.109403255,4.027372263,4.189900427,4.264705882,FALSE,1,5
fundamental,inclusion_4,I do not feel that I need to sacrifice my principles or beliefs to work at organization.,Inclusion & belonging,Inclusion & belonging,,,,,,,4.135658915,4.142086331,4.226490066,4.382352941,FALSE,1,5
fundamental,wellness_1,"Overall, this organization supports me in living a healthy life.",Wellness support,Wellness support,,,,,,4.6,3.896341463,3.859848485,3.967905405,3.852941176,FALSE,1,5
fundamental,wellness_2,"Overall, my direct supervisor supports me in living a healthy life.",Wellness support,Wellness support,,,,,,4.526315789,4.080412371,4.10056926,4.101867572,,FALSE,1,5
fundamental,wellness_3,Most employees at organization have healthy habits.,Wellness support,Wellness support,,,,,,,3.780392157,3.559284116,3.707826087,,FALSE,1,5
fundamental,wellness_4,This organization supports and encourages me to volunteer in our community.,Wellness support,Wellness support,,,,,,,3.652777778,3.943298969,3.722222222,3.852941176,FALSE,1,5
fundamental,ethics_1,We have clear guidance on what is expected of us in terms of ethical behaviour.,Ethical culture,Ethical culture,,,4.121693122,,,4.714285714,4.255506608,4.246331237,4.203488372,4.470588235,FALSE,1,5
fundamental,ethics_2,Management would not bend the rules to get the job done.,Ethical culture,Ethical culture,,,,,,4.75,4.008028546,3.975215517,4.009367681,4.382352941,FALSE,1,5
fundamental,ethics_3,"I feel confident that if I raise an ethical concern, it would be dealt with fairly.",Ethical culture,Ethical culture,,,4.013986014,,,4.714285714,4.104795737,4.094936709,4.0862423,4.470588235,FALSE,1,5
fundamental,ethics_4,I feel like I can talk freely to my direct supervisor about legal or ethical concerns.,Ethical culture,Ethical culture,,,,,,4.894736842,4.273049645,4.302742616,4.245649949,4.441176471,FALSE,1,5
fundamental,ethics_5,I believe organization has a strong ethical culture.,Ethical culture,Ethical culture,,,,,,,4.189710611,4.152293578,4.148870637,4.5,FALSE,1,5
fundamental,hybrid_1,"Overall, I am satisfied with the current hybrid working arrangement set forth by the organization.",Hybrid work satisfaction,Hybrid work satisfaction,,,,,,4.166666667,4.285371703,4.229559748,4.278061224,,FALSE,1,5
fundamental,hybrid_2,The use of digital communication tools is effective among employees.,Hybrid work satisfaction,Hybrid work satisfaction,,,,,,4.857142857,4.314868805,4.341911765,4.25,,FALSE,1,5
fundamental,hybrid_3,The current hybrid working arrangement allows me to maximize both productivity and meaningful collaboration.,Hybrid work satisfaction,Hybrid work satisfaction,,,,,,4.714285714,4.185628743,4.258675079,4.261455526,,FALSE,1,5
outcome,engagement_1,I feel energized at my job.,Engagement,Engagement,4.024193548,3.948717949,3.702064897,4.608695652,3.775335775,3.901056676,3.895342151,3.768508863,3.980523433,3.852941176,FALSE,1,5
outcome,engagement_2,I feel enthusiastic about my work at this company.,Engagement,Engagement,4.217821782,4.20979021,3.920353982,4.782608696,3.932926829,4.071085495,4.057471264,3.990615224,4.147381242,4,FALSE,1,5
outcome,engagement_3,I feel happy when I am challenged in my job.,Engagement,Engagement,4.425742574,4.398601399,4.342182891,5,4.285365854,4.255769231,4.281609195,4.282881002,4.286437247,4.294117647,FALSE,1,5
outcome,engagement_4,"I often get ""in the zone"" when I'm working.",Engagement,Engagement,4.23,4.374117647,4.276836158,4.956521739,4.167892157,4.127536232,4.145098039,4.115005476,4.175862069,4.323529412,FALSE,1,5
outcome,engagement_5,"When faced with a challenge in my job, I always persevere.",Engagement,Engagement,4.356435644,4.487119438,4.412979351,4.869565217,4.240196078,4.319230769,4.375329815,4.332244009,4.348017621,4.352941176,FALSE,1,5
outcome,burnout_1,I dread going to work in the morning.,Burnout,Burnout,1.752475248,2.209125475,1.920454545,1.304347826,2.031941032,1.915517241,2.087796313,2.089171975,2.056852792,1.970588235,TRUE,1,5
outcome,burnout_2,"I find my work to be exhausting (physically, emotionally, or cognitively).",Burnout,Burnout,2.227722772,2.790540541,2.776515152,2,2.723716381,2.489655172,2.613835377,2.559447983,2.515182186,2.794117647,TRUE,1,5
outcome,burnout_3,"I find myself ""going through the motions"" at work.",Burnout,Burnout,1.96039604,2.379014989,2.141221374,1.260869565,2.233621755,2.724975705,2.25508982,2.237723214,2.240490798,,TRUE,1,5
outcome,burnout_4,I feel detached from my work.,Burnout,Burnout,1.693069307,2.151629073,1.779886148,1.217391304,1.953431373,1.84083045,2.01542777,2.028368794,1.94404883,1.852941176,TRUE,1,5
outcome,burnout_5,I feel perpetually pessimistic about my work.,Burnout,Burnout,1.769230769,,1.869565217,1.260869565,2.029813665,2.792031098,2.005266238,2.033405172,1.992560446,1.764705882,TRUE,1,5
outcome,workSat_1,I am satisfied with my job.,Work satisfaction,Work satisfaction,4.136752137,4.273972603,4.270440252,4.782608696,3.979141104,4.073288332,4.10880829,4.052192067,4.141291108,4.147058824,FALSE,1,5
outcome,workSat_2,I feel happy and fulfilled at ORGANIZATION.,Work satisfaction,Work satisfaction,,,4.571428571,,3.79331307,3.967861557,4.066393443,3.898214286,4.084146341,4.088235294,FALSE,1,5
outcome,turnover_1,I think I will be working at organization 5 years from now.,Turnover intentions,Turnover intentions,,,,,3.720848057,4.020969856,4.0828125,,,,FALSE,1,5
outcome,turnover_2,I think I will be working at ORGANIZATION 1 year from now.,Turnover intentions,Turnover intentions,,,,,4.651162791,4.205128205,4.288495575,4.253638254,4.386533666,4.294117647,FALSE,1,5
outcome,turnover_3,I often think of quitting my job at ORGANIZATION.,Turnover intentions,Turnover intentions,,,,,2.091743119,2.042979943,1.957006369,2.12797075,1.967775468,2,TRUE,1,5